Banca/Intermediario ;C.F./Partita Iva;Data stipula;Durata;Rinnovo tacito;Data invio recesso;Perfezione Recesso;Stato Attuale;Stato  01/07/2025 - 31/12/2025;CESSIONI;PRESTITI PERSONALI;TFS;MUTUI CHIROGRAF. IPOTEC.;Totali Prodotti Intermediati
AGOS DUCATO  S.P.A.;08570720154;18/04/2023;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;SI;NO;NO;Credito Personale
BANCA CF+ S.P.A.;00395320583;24/03/2023;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Finanziamento con garanzia pubblica (MCC o Sace) e/o Confidi e/o garanzie accessorie  
BANCA IFIS SPA;04570150278;01/07/2024;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Factoring, Mutuo MLT 
BANCA NUOVA TERRA  S.P.A.;03944450968;18/05/2023;Nessuno;Tempo Indeterminato;11/12/2025;11/02/2026;CESSATO;ATTIVO;SI;NO;NO;NO;CQ  
BANCA PROGETTO S.P.A.;02261070136;16/03/2022;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;SI;NO;CQ  - Credito Personale (refuso nel contratto - non ci sono le condizioni economiche) -  TFS
BANCA SISTEMA  S.P.A.;12870770158;03/05/2021;Tacito rinnovo;Validità quinquennale;13/10/2025;12/11/2025;CESSATO;ATTIVO;SI;NO;NO;NO;CQ - Factoring
BCC DI SAN MARZANO;00130830730;12/09/2025;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Mutuo Chirografario Imprese - Mutuo ipotecario fondiario consumatori e Mutuo Ipotecario fondiario prima casa
CAPITALFIN SPA;04356871212;01/12/2025;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;NO;NO;CQ  
CASHME;03743280988;09/11/2023;Tempo determinato;Tacito rinnovo;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;NO;Cessione crediti
CLESSIDRA FACTORING S.P.A.;04469300265;09/03/2022;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;NO;Factoring
COMPASS  S.P.A.;10536040966;19/06/2023;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;SI;NO;NO;CQ - Credito Personale - Carta di Credito
CONFESERFIDI SOC. CONS. A R.L.;01188660888;03/03/2025;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Rilascio fideiussioni e garanzie, carte di credito, di debito e Fidelity card, Finanziamento chirografario a medio-lungo termine
ENTE NAZIONALE PER IL MICROCREDITO;97538720588;01/07/2024;Annuale;Tacito rinnovo 1 anno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Microcredito
FIDIMED  ;00730360823;10/03/2022;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Mutui Chirografari con garanzia pubblica (MCC) Garanzie fidi, Prodotto di erogazione diretta, Fideiussioni commerciali, Credit check, Cessioni dei crediti
FIDIT SCPA;00291790681;10/09/2021;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Contratti finanziari con garanzia del Confidi
FIGENPA S.P.A.;03401350107;15/04/2025;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;NO;NO;CQ  - Microcredito
FINCONTINUO  S.P.A.;02597720792;13/07/2023;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;NO;NO;CQ  
FUCINO FINANCE  S.P.A.;01861900189;18/01/2024;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;SI;NO;CQ  - TFS
GUBER BANCA SPA;03140600176;12/06/2024;Tacito Rinnovo   ;Annuale;11/09/2025;11/11/2025;CESSATO;ATTIVO;NO;NO;NO;NO;acquisto crediti
IBL BANCA  S.P.A. ;00452550585;01/06/2021;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;SI;NO;CQ  - TFS
ILLIMITY BANK S.P.A.;03192350365;23/03/2022;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Factoring, Mutuo chirografario con garanzia pubblica (MCC)
MICROCREDITO DI IMPRESA SPA;09719540966;10/01/2025;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Mutuo chirografario con garanzia pubblica (MCC)
MIKRO KAPITAL S.P.A.;09572150960;29/04/2024;Annuale;Tacito rinnovo 1 anno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;NO;NO;SI;Microcredito
PERMICRO S.P.A.;09645130015;15/05/2023;Annuale;Tacito Rinnovo;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;SI;NO;SI;Mutuo chirografario con garanzia pubblica (MCC), Credito Personale
VIVIBANCA  S.P.A.;04255700652;03/03/2021;Tempo Indeterminato;Nessuno;Nessuno;Nessuno;ATTIVO;ATTIVO;SI;NO;SI;NO;CQ  - TFS
YOUNITED;13722821009;15/04/2024;Annuale;Tacito rinnovo 1 anno;Nessuno;Nessuno;ATTIVO;ATTIVO;NO;SI;NO;NO;Credito Personale
