Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00255;;C00096;Ancora S.r.L.;;;15.000,00;15.000,00;0,00;;80100;30/12/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Ferrante Imparato nr. 190;Napoli;NA;Via Ferrante Imparato nr. 190;Napoli;;CLI_EX;0,;13933591003;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00254;;C00001;IBL Banca S.P.A.;;;8.549,04;8.549,04;0,00;;00187;29/12/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00253;;C00093;PRESTITOSI FINANCE SPA;;;5.762,50;5.762,50;0,00;;20126;29/12/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Dell'Innovazione nr. 13;MILANO;MI;Viale Dell'Innovazione nr. 13;MILANO;;CLI_IT;0,;02716500646;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00252;;C00001;IBL Banca S.P.A.;;;2.769,60;2.769,60;0,00;;00187;15/12/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00251;;C00019;Agos Ducato S.p.A.;;;1.346,10;1.346,10;0,00;;20126;15/12/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00250;;C00001;IBL Banca S.P.A.;;;6.661,68;6.661,68;0,00;;00187;10/12/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00249;;C00027;Fucino Finance S.P.A.;;;12.468,80;12.468,80;0,00;;00186;05/12/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00248;;C00001;IBL Banca S.P.A.;;;16.224,48;16.224,48;0,00;;00187;04/12/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00247;;C00001;IBL Banca S.P.A.;;;4.838,40;4.838,40;0,00;;00187;04/12/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00246;;C00020;COMPASS Banca S.p.A.;;;982,72;982,72;0,00;;20153;04/12/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
