OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
1;A000048089;A000810201;Responsabile dell'attività di intermediazione;
2;B000073803;B000809341;Responsabile dell'attività di intermediazione;
3;A000145178;A000763252;Responsabile dell'attività di intermediazione;
4;A000551219;A000793994;Responsabile dell'attività di intermediazione;
5;B000000812;B000613719;Responsabile dell'attività di intermediazione;
6;A000604624;A000764385;Responsabile dell'attività di intermediazione;
7;A000070096;A000581197;Responsabile dell'attività di intermediazione;
8;A000143288;A000531178;Responsabile dell'attività di intermediazione;
9;B000007793;B000737376;Responsabile dell'attività di intermediazione;
10;A000123639;A000449976;Responsabile dell'attività di intermediazione;
11;A000009608;A000536769;Responsabile dell'attività di intermediazione;
12;A000118553;A000545715;Responsabile dell'attività di intermediazione;
13;A000008095;A000455504;Responsabile dell'attività di intermediazione;
14;A000513782;A000441240;Responsabile dell'attività di intermediazione;
15;A000584186;A000446045;Responsabile dell'attività di intermediazione;
16;A000010249;A000429176;Responsabile dell'attività di intermediazione;
17;B000162026;B000732277;Rappresentante Legale;
18;A000063726;A000582595;Responsabile dell'attività di intermediazione;
19;A000597725;A000427822;Responsabile dell'attività di intermediazione;
20;A000101959;A000307968;Responsabile dell'attività di intermediazione;
21;A000063905;A000063904;Responsabile dell'attività di intermediazione;
22;A000377437;A000772254;Responsabile dell'attività di intermediazione;
23;A000063037;A000575695;Responsabile dell'attività di intermediazione;
24;A000727293;A000699608;Responsabile dell'attività di intermediazione;
25;A000167334;A000537003;Responsabile dell'attività di intermediazione;
26;A000085683;A000480188;Responsabile dell'attività di intermediazione;
27;B000014232;B000055861;Responsabile dell'attività di intermediazione;
28;B000206492;B000117871;Responsabile dell'attività di intermediazione;
29;B000013603;B000117871;Responsabile dell'attività di intermediazione;
30;B000464579;B000051384;Responsabile dell'attività di intermediazione;
31;B000083653;B000433144;Responsabile dell'attività di intermediazione;
32;B000014166;B000387930;Rappresentante Legale;
33;B000067867;B000117871;Responsabile dell'attività di intermediazione;
34;A000186486;A000548496;Responsabile dell'attività di intermediazione;
35;A000010965;A000051107;Responsabile dell'attività di intermediazione;
36;A000058086;A000760206;Responsabile dell'attività di intermediazione;
37;A000063778;A000725116;Responsabile dell'attività di intermediazione;
38;A000046905;A000012754;Responsabile dell'attività di intermediazione;
39;A000061593;A000725696;Responsabile dell'attività di intermediazione;
40;A000128695;A000580212;Responsabile dell'attività di intermediazione;
41;B000072305;B000073708;Responsabile dell'attività di intermediazione;
42;A000010725;A000158353;Responsabile dell'attività di intermediazione;
43;A000115069;A000534064;Responsabile dell'attività di intermediazione;
