OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
1;A000000019;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2;A000000028;A044S;GENERALI ITALIA S.P.A.
3;A000000028;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4;A000000030;A077S;ZURICH INVESTMENTS LIFE S.P.A.
5;A000000030;D866R;ZURICH INSURANCE EUROPE AG
6;A000000030;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
7;A000000030;X497R;ZURICH INSURANCE COMPANY LTD
8;A000000117;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
9;A000000117;A484S;TUTELA LEGALE S.P.A.
10;A000000143;A390S;EUROP ASSISTANCE ITALIA S.P.A.
11;A000000143;A398S;IMA ITALIA ASSISTANCE S.P.A.
12;A000000143;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
13;A000000143;C399R;INTER PARTNER ASSISTANCE SA
14;A000000143;D891R;AWP P&C S.A.
15;A000000156;A135S;VITTORIA ASSICURAZIONI S.P.A.
16;A000000169;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
17;A000000175;A055X;HDI ASSICURAZIONI S.P.A.
18;A000000175;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
19;A000000175;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
20;A000000175;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21;A000000191;A044S;GENERALI ITALIA S.P.A.
22;A000000193;A055X;HDI ASSICURAZIONI S.P.A.
23;A000000193;A213S;ATHORA ITALIA S.P.A.
24;A000000239;A342S;UNISALUTE S.P.A.
25;A000000239;A505S;UNIPOL ASSICURAZIONI S.P.A.
26;A000000254;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
27;A000000254;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
28;A000000276;A342S;UNISALUTE S.P.A.
29;A000000276;A505S;UNIPOL ASSICURAZIONI S.P.A.
30;A000000285;A342S;UNISALUTE S.P.A.
31;A000000285;A505S;UNIPOL ASSICURAZIONI S.P.A.
32;A000000302;A342S;UNISALUTE S.P.A.
33;A000000302;A505S;UNIPOL ASSICURAZIONI S.P.A.
34;A000000304;A342S;UNISALUTE S.P.A.
35;A000000304;A505S;UNIPOL ASSICURAZIONI S.P.A.
36;A000000311;A342S;UNISALUTE S.P.A.
37;A000000311;A505S;UNIPOL ASSICURAZIONI S.P.A.
38;A000000340;A342S;UNISALUTE S.P.A.
39;A000000340;A505S;UNIPOL ASSICURAZIONI S.P.A.
40;A000000367;A342S;UNISALUTE S.P.A.
41;A000000407;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
42;A000000422;A342S;UNISALUTE S.P.A.
43;A000000422;A505S;UNIPOL ASSICURAZIONI S.P.A.
44;A000000429;A342S;UNISALUTE S.P.A.
45;A000000429;A505S;UNIPOL ASSICURAZIONI S.P.A.
46;A000000460;A135S;VITTORIA ASSICURAZIONI S.P.A.
47;A000000498;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
48;A000000522;A342S;UNISALUTE S.P.A.
49;A000000522;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
50;A000000522;A505S;UNIPOL ASSICURAZIONI S.P.A.
51;A000000522;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
52;A000000546;D866R;ZURICH INSURANCE EUROPE AG
53;A000000573;A342S;UNISALUTE S.P.A.
54;A000000573;A505S;UNIPOL ASSICURAZIONI S.P.A.
55;A000000603;A342S;UNISALUTE S.P.A.
56;A000000603;A505S;UNIPOL ASSICURAZIONI S.P.A.
57;A000000614;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
58;A000000614;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
59;A000000614;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
60;A000000614;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
61;A000000614;A390S;EUROP ASSISTANCE ITALIA S.P.A.
62;A000000617;A342S;UNISALUTE S.P.A.
63;A000000617;A505S;UNIPOL ASSICURAZIONI S.P.A.
64;A000000673;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
65;A000000673;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
66;A000000673;A342S;UNISALUTE S.P.A.
67;A000000673;A505S;UNIPOL ASSICURAZIONI S.P.A.
68;A000000673;X460R;SCHWEIZERISCHE HAGEL-VERSICHERUNGS-GESELLSHAFT - SOCIETA' SVIZZERA DI
69;A000000705;A044S;GENERALI ITALIA S.P.A.
70;A000000705;A390S;EUROP ASSISTANCE ITALIA S.P.A.
71;A000000716;A463S;ALLIANZ SOCIETA' PER AZIONI
72;A000000716;A484S;TUTELA LEGALE S.P.A.
73;A000000716;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
74;A000000716;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
75;A000000716;D878R;ALLIANZ GLOBAL LIFE DAC
76;A000000716;D891R;AWP P&C S.A.
77;A000000716;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
78;A000000718;A044S;GENERALI ITALIA S.P.A.
79;A000000718;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
80;A000000718;A390S;EUROP ASSISTANCE ITALIA S.P.A.
81;A000000737;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
82;A000000737;A294S;SARA VITA S.P.A.
83;A000000773;A055X;HDI ASSICURAZIONI S.P.A.
